曜日,方向,駅名,発車時刻
平日,福住方面,北13条東,06:09
平日,福住方面,北13条東,06:19
平日,福住方面,北13条東,06:28
平日,福住方面,北13条東,06:38
平日,福住方面,北13条東,06:46
平日,福住方面,北13条東,06:55
平日,福住方面,北13条東,07:03
平日,福住方面,北13条東,07:11
平日,福住方面,北13条東,07:18
平日,福住方面,北13条東,07:23
平日,福住方面,北13条東,07:28
平日,福住方面,北13条東,07:32
平日,福住方面,北13条東,07:36
平日,福住方面,北13条東,07:40
平日,福住方面,北13条東,07:44
平日,福住方面,北13条東,07:48
平日,福住方面,北13条東,07:52
平日,福住方面,北13条東,07:56
平日,福住方面,北13条東,08:00
平日,福住方面,北13条東,08:04
平日,福住方面,北13条東,08:07
平日,福住方面,北13条東,08:11
平日,福住方面,北13条東,08:15
平日,福住方面,北13条東,08:19
平日,福住方面,北13条東,08:22
平日,福住方面,北13条東,08:26
平日,福住方面,北13条東,08:30
平日,福住方面,北13条東,08:34
平日,福住方面,北13条東,08:38
平日,福住方面,北13条東,08:42
平日,福住方面,北13条東,08:46
平日,福住方面,北13条東,08:50
平日,福住方面,北13条東,08:55
平日,福住方面,北13条東,08:59
平日,福住方面,北13条東,09:06
平日,福住方面,北13条東,09:14
平日,福住方面,北13条東,09:21
平日,福住方面,北13条東,09:29
平日,福住方面,北13条東,09:36
平日,福住方面,北13条東,09:44
平日,福住方面,北13条東,09:51
平日,福住方面,北13条東,09:59
平日,福住方面,北13条東,10:06
平日,福住方面,北13条東,10:14
平日,福住方面,北13条東,10:21
平日,福住方面,北13条東,10:29
平日,福住方面,北13条東,10:36
平日,福住方面,北13条東,10:44
平日,福住方面,北13条東,10:51
平日,福住方面,北13条東,10:59
平日,福住方面,北13条東,11:06
平日,福住方面,北13条東,11:14
平日,福住方面,北13条東,11:21
平日,福住方面,北13条東,11:29
平日,福住方面,北13条東,11:36
平日,福住方面,北13条東,11:44
平日,福住方面,北13条東,11:51
平日,福住方面,北13条東,11:59
平日,福住方面,北13条東,12:06
平日,福住方面,北13条東,12:14
平日,福住方面,北13条東,12:21
平日,福住方面,北13条東,12:29
平日,福住方面,北13条東,12:36
平日,福住方面,北13条東,12:44
平日,福住方面,北13条東,12:51
平日,福住方面,北13条東,12:59
平日,福住方面,北13条東,13:06
平日,福住方面,北13条東,13:14
平日,福住方面,北13条東,13:21
平日,福住方面,北13条東,13:29
平日,福住方面,北13条東,13:36
平日,福住方面,北13条東,13:44
平日,福住方面,北13条東,13:51
平日,福住方面,北13条東,13:59
平日,福住方面,北13条東,14:06
平日,福住方面,北13条東,14:14
平日,福住方面,北13条東,14:21
平日,福住方面,北13条東,14:29
平日,福住方面,北13条東,14:36
平日,福住方面,北13条東,14:44
平日,福住方面,北13条東,14:51
平日,福住方面,北13条東,14:59
平日,福住方面,北13条東,15:06
平日,福住方面,北13条東,15:14
平日,福住方面,北13条東,15:21
平日,福住方面,北13条東,15:29
平日,福住方面,北13条東,15:36
平日,福住方面,北13条東,15:44
平日,福住方面,北13条東,15:51
平日,福住方面,北13条東,15:59
平日,福住方面,北13条東,16:06
平日,福住方面,北13条東,16:14
平日,福住方面,北13条東,16:21
平日,福住方面,北13条東,16:29
平日,福住方面,北13条東,16:36
平日,福住方面,北13条東,16:42
平日,福住方面,北13条東,16:47
平日,福住方面,北13条東,16:53
平日,福住方面,北13条東,16:58
平日,福住方面,北13条東,17:03
平日,福住方面,北13条東,17:08
平日,福住方面,北13条東,17:14
平日,福住方面,北13条東,17:19
平日,福住方面,北13条東,17:24
平日,福住方面,北13条東,17:29
平日,福住方面,北13条東,17:35
平日,福住方面,北13条東,17:40
平日,福住方面,北13条東,17:45
平日,福住方面,北13条東,17:50
平日,福住方面,北13条東,17:56
平日,福住方面,北13条東,18:01
平日,福住方面,北13条東,18:06
平日,福住方面,北13条東,18:11
平日,福住方面,北13条東,18:17
平日,福住方面,北13条東,18:22
平日,福住方面,北13条東,18:27
平日,福住方面,北13条東,18:32
平日,福住方面,北13条東,18:38
平日,福住方面,北13条東,18:43
平日,福住方面,北13条東,18:49
平日,福住方面,北13条東,18:55
平日,福住方面,北13条東,19:02
平日,福住方面,北13条東,19:09
平日,福住方面,北13条東,19:17
平日,福住方面,北13条東,19:25
平日,福住方面,北13条東,19:33
平日,福住方面,北13条東,19:41
平日,福住方面,北13条東,19:49
平日,福住方面,北13条東,19:57
平日,福住方面,北13条東,20:05
平日,福住方面,北13条東,20:13
平日,福住方面,北13条東,20:21
平日,福住方面,北13条東,20:29
平日,福住方面,北13条東,20:37
平日,福住方面,北13条東,20:45
平日,福住方面,北13条東,20:53
平日,福住方面,北13条東,21:01
平日,福住方面,北13条東,21:09
平日,福住方面,北13条東,21:17
平日,福住方面,北13条東,21:25
平日,福住方面,北13条東,21:33
平日,福住方面,北13条東,21:41
平日,福住方面,北13条東,21:49
平日,福住方面,北13条東,21:57
平日,福住方面,北13条東,22:05
平日,福住方面,北13条東,22:13
平日,福住方面,北13条東,22:21
平日,福住方面,北13条東,22:30
平日,福住方面,北13条東,22:39
平日,福住方面,北13条東,22:49
平日,福住方面,北13条東,22:59
平日,福住方面,北13条東,23:09
平日,福住方面,北13条東,23:19
平日,福住方面,北13条東,23:29
平日,福住方面,北13条東,23:39
平日,福住方面,北13条東,23:49
平日,福住方面,北13条東,23:59
平日,福住方面,北13条東,00:09
土日祝,福住方面,北13条東,06:09
土日祝,福住方面,北13条東,06:19
土日祝,福住方面,北13条東,06:28
土日祝,福住方面,北13条東,06:38
土日祝,福住方面,北13条東,06:46
土日祝,福住方面,北13条東,06:55
土日祝,福住方面,北13条東,07:03
土日祝,福住方面,北13条東,07:11
土日祝,福住方面,北13条東,07:19
土日祝,福住方面,北13条東,07:27
土日祝,福住方面,北13条東,07:34
土日祝,福住方面,北13条東,07:40
土日祝,福住方面,北13条東,07:46
土日祝,福住方面,北13条東,07:52
土日祝,福住方面,北13条東,07:58
土日祝,福住方面,北13条東,08:04
土日祝,福住方面,北13条東,08:10
土日祝,福住方面,北13条東,08:16
土日祝,福住方面,北13条東,08:22
土日祝,福住方面,北13条東,08:29
