曜日,方向,駅名,発車時刻
平日,福住方面,美園,06:21
平日,福住方面,美園,06:31
平日,福住方面,美園,06:40
平日,福住方面,美園,06:50
平日,福住方面,美園,06:58
平日,福住方面,美園,07:07
平日,福住方面,美園,07:15
平日,福住方面,美園,07:23
平日,福住方面,美園,07:30
平日,福住方面,美園,07:35
平日,福住方面,美園,07:40
平日,福住方面,美園,07:44
平日,福住方面,美園,07:48
平日,福住方面,美園,07:52
平日,福住方面,美園,07:56
平日,福住方面,美園,08:00
平日,福住方面,美園,08:04
平日,福住方面,美園,08:08
平日,福住方面,美園,08:12
平日,福住方面,美園,08:16
平日,福住方面,美園,08:19
平日,福住方面,美園,08:23
平日,福住方面,美園,08:27
平日,福住方面,美園,08:31
平日,福住方面,美園,08:34
平日,福住方面,美園,08:38
平日,福住方面,美園,08:42
平日,福住方面,美園,08:46
平日,福住方面,美園,08:50
平日,福住方面,美園,08:54
平日,福住方面,美園,08:58
平日,福住方面,美園,09:02
平日,福住方面,美園,09:07
平日,福住方面,美園,09:11
平日,福住方面,美園,09:18
平日,福住方面,美園,09:26
平日,福住方面,美園,09:33
平日,福住方面,美園,09:41
平日,福住方面,美園,09:48
平日,福住方面,美園,09:56
平日,福住方面,美園,10:03
平日,福住方面,美園,10:11
平日,福住方面,美園,10:18
平日,福住方面,美園,10:26
平日,福住方面,美園,10:33
平日,福住方面,美園,10:41
平日,福住方面,美園,10:48
平日,福住方面,美園,10:56
平日,福住方面,美園,11:03
平日,福住方面,美園,11:11
平日,福住方面,美園,11:18
平日,福住方面,美園,11:26
平日,福住方面,美園,11:33
平日,福住方面,美園,11:41
平日,福住方面,美園,11:48
平日,福住方面,美園,11:56
平日,福住方面,美園,12:03
平日,福住方面,美園,12:11
平日,福住方面,美園,12:18
平日,福住方面,美園,12:26
平日,福住方面,美園,12:33
平日,福住方面,美園,12:41
平日,福住方面,美園,12:48
平日,福住方面,美園,12:56
平日,福住方面,美園,13:03
平日,福住方面,美園,13:11
平日,福住方面,美園,13:18
平日,福住方面,美園,13:26
平日,福住方面,美園,13:33
平日,福住方面,美園,13:41
平日,福住方面,美園,13:48
平日,福住方面,美園,13:56
平日,福住方面,美園,14:03
平日,福住方面,美園,14:11
平日,福住方面,美園,14:18
平日,福住方面,美園,14:26
平日,福住方面,美園,14:33
平日,福住方面,美園,14:41
平日,福住方面,美園,14:48
平日,福住方面,美園,14:56
平日,福住方面,美園,15:03
平日,福住方面,美園,15:11
平日,福住方面,美園,15:18
平日,福住方面,美園,15:26
平日,福住方面,美園,15:33
平日,福住方面,美園,15:41
平日,福住方面,美園,15:48
平日,福住方面,美園,15:56
平日,福住方面,美園,16:03
平日,福住方面,美園,16:11
平日,福住方面,美園,16:18
平日,福住方面,美園,16:26
平日,福住方面,美園,16:33
平日,福住方面,美園,16:41
平日,福住方面,美園,16:48
平日,福住方面,美園,16:54
平日,福住方面,美園,16:59
平日,福住方面,美園,17:05
平日,福住方面,美園,17:10
平日,福住方面,美園,17:15
平日,福住方面,美園,17:20
平日,福住方面,美園,17:26
平日,福住方面,美園,17:31
平日,福住方面,美園,17:36
平日,福住方面,美園,17:41
平日,福住方面,美園,17:47
平日,福住方面,美園,17:52
平日,福住方面,美園,17:57
平日,福住方面,美園,18:02
平日,福住方面,美園,18:08
平日,福住方面,美園,18:13
平日,福住方面,美園,18:18
平日,福住方面,美園,18:23
平日,福住方面,美園,18:29
平日,福住方面,美園,18:34
平日,福住方面,美園,18:39
平日,福住方面,美園,18:44
平日,福住方面,美園,18:50
平日,福住方面,美園,18:55
平日,福住方面,美園,19:01
平日,福住方面,美園,19:07
平日,福住方面,美園,19:14
平日,福住方面,美園,19:21
平日,福住方面,美園,19:29
平日,福住方面,美園,19:37
平日,福住方面,美園,19:45
平日,福住方面,美園,19:53
平日,福住方面,美園,20:01
平日,福住方面,美園,20:09
平日,福住方面,美園,20:17
平日,福住方面,美園,20:25
平日,福住方面,美園,20:33
平日,福住方面,美園,20:41
平日,福住方面,美園,20:49
平日,福住方面,美園,20:57
平日,福住方面,美園,21:05
平日,福住方面,美園,21:13
平日,福住方面,美園,21:21
平日,福住方面,美園,21:29
平日,福住方面,美園,21:37
