曜日,方向,駅名,発車時刻
平日,福住方面,さっぽろ,06:11
平日,福住方面,さっぽろ,06:21
平日,福住方面,さっぽろ,06:31
平日,福住方面,さっぽろ,06:40
平日,福住方面,さっぽろ,06:49
平日,福住方面,さっぽろ,06:57
平日,福住方面,さっぽろ,07:05
平日,福住方面,さっぽろ,07:13
平日,福住方面,さっぽろ,07:20
平日,福住方面,さっぽろ,07:25
平日,福住方面,さっぽろ,07:30
平日,福住方面,さっぽろ,07:34
平日,福住方面,さっぽろ,07:38
平日,福住方面,さっぽろ,07:42
平日,福住方面,さっぽろ,07:46
平日,福住方面,さっぽろ,07:50
平日,福住方面,さっぽろ,07:54
平日,福住方面,さっぽろ,07:58
平日,福住方面,さっぽろ,08:02
平日,福住方面,さっぽろ,08:06
平日,福住方面,さっぽろ,08:10
平日,福住方面,さっぽろ,08:14
平日,福住方面,さっぽろ,08:17
平日,福住方面,さっぽろ,08:21
平日,福住方面,さっぽろ,08:25
平日,福住方面,さっぽろ,08:29
平日,福住方面,さっぽろ,08:33
平日,福住方面,さっぽろ,08:37
平日,福住方面,さっぽろ,08:41
平日,福住方面,さっぽろ,08:45
平日,福住方面,さっぽろ,08:49
平日,福住方面,さっぽろ,08:53
平日,福住方面,さっぽろ,08:57
平日,福住方面,さっぽろ,09:02
平日,福住方面,さっぽろ,09:09
平日,福住方面,さっぽろ,09:16
平日,福住方面,さっぽろ,09:24
平日,福住方面,さっぽろ,09:31
平日,福住方面,さっぽろ,09:39
平日,福住方面,さっぽろ,09:46
平日,福住方面,さっぽろ,09:54
平日,福住方面,さっぽろ,10:01
平日,福住方面,さっぽろ,10:09
平日,福住方面,さっぽろ,10:16
平日,福住方面,さっぽろ,10:24
平日,福住方面,さっぽろ,10:31
平日,福住方面,さっぽろ,10:39
平日,福住方面,さっぽろ,10:46
平日,福住方面,さっぽろ,10:54
平日,福住方面,さっぽろ,11:01
平日,福住方面,さっぽろ,11:09
平日,福住方面,さっぽろ,11:16
平日,福住方面,さっぽろ,11:24
平日,福住方面,さっぽろ,11:31
平日,福住方面,さっぽろ,11:39
平日,福住方面,さっぽろ,11:46
平日,福住方面,さっぽろ,11:54
平日,福住方面,さっぽろ,12:01
平日,福住方面,さっぽろ,12:09
平日,福住方面,さっぽろ,12:16
平日,福住方面,さっぽろ,12:24
平日,福住方面,さっぽろ,12:31
平日,福住方面,さっぽろ,12:39
平日,福住方面,さっぽろ,12:46
平日,福住方面,さっぽろ,12:54
平日,福住方面,さっぽろ,13:01
平日,福住方面,さっぽろ,13:09
平日,福住方面,さっぽろ,13:16
平日,福住方面,さっぽろ,13:24
平日,福住方面,さっぽろ,13:31
平日,福住方面,さっぽろ,13:39
平日,福住方面,さっぽろ,13:46
平日,福住方面,さっぽろ,13:54
平日,福住方面,さっぽろ,14:01
平日,福住方面,さっぽろ,14:09
平日,福住方面,さっぽろ,14:16
平日,福住方面,さっぽろ,14:24
平日,福住方面,さっぽろ,14:31
平日,福住方面,さっぽろ,14:39
平日,福住方面,さっぽろ,14:46
平日,福住方面,さっぽろ,14:54
平日,福住方面,さっぽろ,15:01
平日,福住方面,さっぽろ,15:09
平日,福住方面,さっぽろ,15:16
平日,福住方面,さっぽろ,15:24
平日,福住方面,さっぽろ,15:31
平日,福住方面,さっぽろ,15:39
平日,福住方面,さっぽろ,15:46
平日,福住方面,さっぽろ,15:54
平日,福住方面,さっぽろ,16:01
平日,福住方面,さっぽろ,16:09
平日,福住方面,さっぽろ,16:16
平日,福住方面,さっぽろ,16:24
平日,福住方面,さっぽろ,16:31
平日,福住方面,さっぽろ,16:39
平日,福住方面,さっぽろ,16:44
平日,福住方面,さっぽろ,16:50
平日,福住方面,さっぽろ,16:55
平日,福住方面,さっぽろ,17:00
平日,福住方面,さっぽろ,17:06
平日,福住方面,さっぽろ,17:11
平日,福住方面,さっぽろ,17:16
平日,福住方面,さっぽろ,17:21
平日,福住方面,さっぽろ,17:27
平日,福住方面,さっぽろ,17:32
平日,福住方面,さっぽろ,17:37
平日,福住方面,さっぽろ,17:42
平日,福住方面,さっぽろ,17:48
平日,福住方面,さっぽろ,17:53
